YEAR,MADE PLAYOFFS,PTS,FPTS,SACKS,INT,TO,PTS ALLOW,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD,RZ ATT,RZ TD,RZ TD PERCENTAGE,FIRST DOWNS,3RD DOWN CONVERSION,4TH DOWN CONVERSION
2018,0,13,27,16,23,22,3,17,8,6,10,8,3,18,19,4,2,7,2,2,5,10,16
2018,0,5,28,22,23,22,4,6,5,2,4,2,2,19,21,21,4,7,5,8,3,14,1
2018,1,5,23,11,9,4,4,22,12,28,27,26,18,3,9,3,7,2,15,29,5,20,22
2018,1,22,25,16,26,16,6,10,7,13,14,20,8,5,12,10,6,12,6,7,9,27,5
2018,1,13,18,30,3,5,7,18,21,22,28,22,19,11,6,2,7,6,12,16,17,16,2
2018,1,13,26,19,15,16,8,10,9,9,18,13,12,9,11,6,11,16,6,5,10,18,16
2018,0,8,30,3,18,16,9,13,4,3,5,4,1,15,22,15,4,12,3,3,7,1,8
2018,1,31,24,19,9,10,10,14,11,16,14,24,3,8,16,10,9,4,4,11,11,23,7
2018,0,13,17,8,5,5,11,22,22,20,19,14,14,21,19,6,12,4,6,15,16,17,14
2018,1,13,22,11,18,10,11,3,16,17,17,16,14,13,5,4,12,17,6,4,19,5,6
2018,1,31,15,8,25,22,13,18,23,30,30,32,8,7,1,19,9,23,6,1,8,6,19
2018,1,22,16,5,18,13,14,9,14,29,22,24,22,2,4,10,15,12,18,23,22,24,9
2018,0,22,19,7,9,10,15,15,17,15,13,17,16,17,15,10,15,18,12,9,20,29,3
2018,0,3,21,1,28,29,16,12,6,10,21,17,16,6,7,15,14,12,15,17,14,8,13
2018,0,13,20,11,29,31,16,1,10,8,3,5,19,10,13,6,18,7,12,13,11,11,12
2018,0,22,29,26,7,8,18,5,2,1,2,3,8,16,22,24,18,11,24,30,4,8,14
2018,0,22,12,27,15,14,19,2,15,18,9,14,27,12,8,15,22,7,20,27,11,19,20
2018,1,2,13,15,3,3,20,4,19,14,10,12,25,23,10,10,18,18,17,14,17,12,22
2018,0,22,10,22,5,2,21,32,30,25,30,29,3,28,28,31,15,21,20,21,31,7,27
2018,0,22,10,8,29,29,22,21,18,12,8,7,22,22,27,20,23,23,24,19,21,13,28
2018,0,8,9,30,7,15,23,27,24,23,20,17,13,20,25,28,21,25,20,12,25,26,32
2018,1,5,4,1,9,8,24,31,31,31,32,31,22,27,17,28,26,25,31,31,32,25,28
2018,0,13,5,22,9,20,25,26,28,27,26,30,29,25,14,21,28,21,28,28,30,31,31
2018,0,13,14,5,29,28,26,29,20,4,6,10,3,32,32,32,25,20,20,22,28,15,24
2018,0,8,7,29,2,5,27,25,29,21,7,6,25,31,31,24,28,30,26,19,26,28,4
2018,0,13,8,22,32,32,28,24,13,11,14,11,31,14,25,15,28,25,28,26,23,21,20
2018,0,8,6,16,15,16,29,28,25,24,24,20,19,26,22,24,24,29,18,10,24,2,25
2018,0,3,1,28,18,21,30,30,32,32,25,28,27,29,29,24,26,30,30,25,29,32,26
2018,0,22,2,19,26,22,31,16,27,26,12,27,30,24,18,28,32,25,32,32,27,21,10
2018,0,22,3,32,14,22,32,7,26,19,1,1,32,30,30,21,31,32,26,18,14,30,28
2017,1,19,31,19,13,23,1,4,1,2,19,7,1,2,3,9,1,5,3,3,2,1,12
2017,1,1,32,2,2,2,2,8,2,1,4,1,3,21,13,6,2,1,1,2,1,4,16
2017,0,12,30,5,6,6,3,11,15,3,7,11,3,31,14,12,2,2,2,1,6,19,5
2017,1,3,29,15,4,4,4,6,4,17,31,26,18,1,1,3,8,3,5,20,5,3,1
2017,1,19,14,9,18,25,5,19,29,30,30,28,18,20,5,2,5,14,5,4,24,21,13
2017,0,3,27,9,1,1,6,24,12,10,26,14,5,15,19,15,4,9,8,11,9,10,11
2017,1,25,27,1,9,13,7,1,5,5,2,3,8,10,4,22,12,4,11,28,4,7,7
2017,1,19,24,13,29,27,8,9,9,12,16,25,12,9,7,6,5,14,8,5,21,16,29
2017,0,9,26,6,29,13,9,14,10,7,10,17,5,11,16,12,5,18,11,12,10,20,23
2017,1,12,18,6,3,9,10,13,17,15,17,11,12,16,9,12,12,14,14,14,15,27,8
2017,1,25,19,3,24,16,11,3,7,18,15,22,22,3,2,3,8,8,5,8,6,13,10
2017,1,3,19,4,6,5,12,18,19,13,19,7,10,28,11,27,15,10,16,24,11,13,25
2017,0,2,25,13,13,9,13,24,11,6,17,9,7,19,23,22,8,7,4,7,19,16,17
2017,0,25,23,15,24,16,13,12,8,11,22,31,26,8,8,3,19,18,20,22,16,29,6
2017,1,12,11,24,9,7,15,23,28,29,27,9,15,25,22,27,17,20,20,19,32,23,21
2017,0,12,17,9,20,30,16,32,18,8,23,15,8,30,31,18,11,28,15,6,24,25,18
2017,1,25,15,6,18,16,17,27,13,25,32,29,24,4,6,1,12,28,16,10,21,8,27
2017,1,12,16,30,6,9,18,31,26,20,29,30,2,29,26,32,15,30,26,15,30,16,24
2017,0,19,21,17,12,16,19,15,6,14,25,17,18,6,9,15,20,10,16,24,8,6,14
2017,0,31,8,24,32,30,20,9,23,26,11,24,18,12,18,15,17,14,10,9,13,26,30
2017,0,3,13,20,4,3,21,22,27,27,27,27,10,18,16,30,24,27,31,29,31,15,22
2017,0,25,7,26,24,20,22,30,24,22,13,19,24,22,32,18,22,30,31,26,29,30,32
2017,0,9,22,22,24,26,23,2,3,4,1,2,28,5,12,6,24,6,11,23,3,2,8
2017,0,9,3,32,15,7,23,16,32,32,14,31,12,23,20,30,24,24,22,17,26,32,1
2017,0,31,5,28,20,20,23,28,25,21,21,11,29,24,26,18,30,23,22,21,27,12,15
2017,0,19,5,17,20,13,26,17,22,23,5,21,29,17,24,9,22,10,26,31,28,28,31
2017,0,3,10,27,28,29,27,7,16,16,9,16,23,14,15,22,24,20,29,30,20,10,3
2017,0,12,1,29,15,23,28,28,31,31,23,20,32,27,24,9,24,24,22,17,17,22,4
2017,0,19,12,9,9,12,28,24,21,9,12,4,15,32,29,18,20,30,22,13,14,9,25
2017,0,12,3,30,15,20,30,20,30,28,5,5,15,26,30,27,24,20,16,16,23,31,19
2017,0,25,9,21,31,32,31,20,14,19,8,23,26,7,28,22,31,10,28,32,18,24,19
2017,0,3,2,23,20,27,32,5,20,24,3,6,29,13,20,22,31,26,30,27,12,5,27
