YEAR,MADE PLAYOFFS,PTS,FPTS,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD,RZ ATT,RZ TD,RZ TD PERCENTAGE,FIRST DOWNS,3RD DOWN CONVERSION,4TH DOWN CONVERSION,INT,TO,SACKS ALLOW
2019,0,31,32,28,32,29,22,23,27,31,26,31,26,32,31,19,31,31,27,23,25,29
2019,0,24,18,24,11,9,21,14,19,13,11,18,22,13,18,22,18,7,8,5,3,8
2019,0,26,22,13,20,16,12,15,17,17,23,32,28,23,30,31,27,26,17,5,6,18
2019,0,25,26,11,27,12,7,12,19,32,32,24,25,21,20,18,18,28,18,27,12,31
2019,0,32,30,32,31,32,28,30,28,22,31,26,30,30,28,27,32,32,22,18,17,26
2018,1,4,8,2,5,8,11,12,11,5,3,4,7,9,10,15,8,13,20,10,16,3
2018,1,3,3,17,8,12,23,11,7,6,5,1,2,3,2,4,5,7,2,2,9,2
2018,0,6,4,5,4,2,1,1,5,31,31,7,4,19,5,1,4,8,7,26,20,4
2018,1,1,1,23,1,3,9,8,1,16,23,7,1,2,1,2,3,2,3,12,20,5
2018,0,19,18,21,20,13,6,4,10,30,27,27,15,16,19,21,22,26,28,8,6,15
2018,1,2,2,4,2,5,14,15,8,3,8,2,2,1,3,18,1,5,30,12,20,8
2018,1,18,12,8,14,7,7,5,11,28,20,20,17,9,12,17,11,11,10,10,6,15
2018,1,8,9,28,11,10,24,19,8,15,19,7,7,14,10,10,13,16,1,12,9,10
2018,0,10,7,17,6,4,5,3,3,27,30,24,10,16,14,11,10,4,19,2,1,20
2018,1,22,21,11,22,23,21,17,22,10,10,16,23,16,24,29,19,9,16,5,9,31
2018,0,25,24,12,24,20,11,14,22,23,18,24,24,19,21,24,18,25,9,12,9,17
2018,0,12,6,6,3,1,4,6,3,29,22,20,10,5,5,14,2,3,5,32,31,17
2018,0,28,25,24,23,18,16,9,24,25,23,27,28,27,25,22,24,19,27,8,3,26
2018,1,6,10,15,18,27,32,31,5,1,2,12,5,11,5,8,17,17,4,2,16,25
2018,0,14,11,9,12,9,3,7,20,22,32,15,17,22,18,13,15,23,20,1,2,29
2018,0,31,31,20,27,26,19,25,30,19,12,30,32,30,32,31,29,14,25,18,13,29
2018,0,15,13,16,10,16,15,12,14,4,12,6,12,8,5,12,9,10,24,25,23,6
2018,0,27,26,29,25,29,31,28,28,7,9,12,26,22,22,23,26,15,15,12,6,22
2018,0,21,20,21,16,15,20,23,17,13,11,30,24,15,27,32,12,18,20,30,23,24
2018,0,29,29,27,28,28,26,26,28,17,14,20,29,28,27,25,28,24,17,22,26,21
2018,1,13,17,1,9,22,16,22,26,2,1,3,17,7,12,20,7,5,14,6,4,6
2018,0,17,23,29,26,24,18,23,16,21,26,16,13,24,14,3,23,21,18,18,13,12
2018,0,16,18,25,17,11,9,9,21,24,29,16,20,12,19,27,25,21,11,12,5,22
2018,1,11,14,7,15,17,27,20,17,8,4,20,15,5,17,27,14,20,6,6,18,32
2018,0,23,28,26,29,25,22,27,26,26,16,24,26,24,29,30,30,29,20,29,26,12
2018,0,30,30,19,30,31,28,32,32,9,6,7,29,29,26,16,27,30,31,31,32,17
2018,0,26,27,32,31,30,30,29,17,18,25,30,22,31,31,26,31,31,8,18,13,26
2018,1,9,16,14,21,21,24,21,14,11,6,7,9,12,5,6,16,11,11,21,18,8
2018,1,5,5,3,7,6,2,2,2,20,17,16,5,4,4,5,6,1,26,22,26,1
2018,0,32,32,31,32,32,29,30,30,32,28,27,31,32,30,9,32,32,32,28,29,26
2018,0,24,22,13,19,19,8,16,24,12,21,4,20,26,22,19,20,28,11,22,23,10
2018,0,20,15,10,13,14,11,18,11,14,15,12,14,21,14,6,21,27,28,26,30,14
2017,0,27,26,2,17,20,12,20,25,12,8,25,24,15,28,32,20,15,25,31,31,30
2017,0,11,13,17,15,14,16,18,2,23,20,31,7,20,15,13,19,21,7,11,13,22
2017,1,8,4,9,3,3,6,3,4,20,15,16,7,3,5,22,3,2,24,23,13,3
2017,1,10,8,7,11,11,21,12,12,7,2,7,12,4,4,9,6,3,30,2,1,7
2017,1,22,27,15,29,31,31,31,27,6,4,16,24,21,19,21,26,6,31,8,7,25
2017,1,5,10,1,6,17,21,23,20,1,1,2,5,13,5,2,7,20,2,16,22,3
2017,1,12,17,13,19,28,27,29,18,4,3,7,14,9,10,17,12,6,16,25,27,13
2017,0,26,29,32,32,27,25,27,12,31,29,28,21,22,17,12,30,29,20,11,4,20
2017,0,17,18,12,20,21,23,28,6,14,11,25,14,23,20,20,14,22,12,26,17,31
2017,0,9,19,8,27,29,11,9,23,11,7,10,12,9,9,10,15,27,4,16,22,7
2017,1,3,2,3,7,13,13,17,1,3,6,22,1,5,3,1,4,8,3,6,13,16
2017,0,7,9,28,13,6,10,5,4,32,31,22,6,18,12,11,21,17,32,9,20,24
2017,1,5,6,24,5,7,17,9,10,9,23,16,10,13,22,29,10,14,28,2,7,17
2017,1,15,11,25,8,8,20,16,20,13,16,11,19,7,11,23,9,1,27,11,9,3
2017,1,4,3,19,2,5,19,2,16,5,13,1,2,5,5,8,7,19,1,2,1,2
2017,0,13,7,14,4,1,8,8,6,24,19,19,7,17,20,28,5,11,16,9,9,1
2017,0,28,25,22,25,18,4,6,15,29,32,31,24,29,24,18,25,32,29,30,27,10
2017,0,24,24,25,28,24,25,21,25,19,17,11,23,31,31,15,29,23,8,11,13,25
2017,0,21,21,21,26,25,14,13,12,17,27,11,14,23,12,3,18,13,9,28,30,28
2017,0,16,15,27,16,12,18,14,9,28,24,22,17,18,15,16,26,31,6,16,9,21
2017,0,23,20,30,17,16,15,14,16,25,30,11,19,30,24,7,24,11,26,20,18,3
2017,0,25,22,5,22,15,5,19,20,30,20,28,29,15,24,30,17,24,19,28,20,28
2017,1,1,5,19,10,10,24,22,6,8,9,5,2,2,2,14,15,9,20,1,6,7
2017,0,31,28,10,21,19,1,6,23,26,25,28,30,27,28,25,28,30,23,20,9,12
2017,1,19,23,29,23,23,28,26,30,15,14,2,22,25,22,19,22,25,12,26,25,13
2017,0,29,32,31,30,32,32,30,31,16,18,11,24,31,24,4,30,26,22,11,25,18
2017,0,18,12,11,9,4,3,4,10,27,26,25,18,8,12,24,2,4,12,20,27,18
2017,0,30,30,23,31,30,30,32,31,22,10,19,32,25,32,31,30,18,15,6,5,32
2017,0,14,16,18,14,26,29,25,18,2,5,2,10,9,8,6,13,5,10,16,18,10
2017,1,2,1,4,1,2,7,1,3,10,11,6,4,1,1,5,1,10,5,2,1,13
2017,0,32,31,16,24,22,9,24,28,18,28,19,31,27,28,25,22,28,11,32,32,27
2017,0,20,14,6,12,9,2,11,28,21,22,7,24,12,17,27,11,16,18,23,22,22
